Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,currentPrice,adr_pct_20_days,volume_dollars_1day,price_growth_one_month,move_higher_3_months_percent,avg_volume_10_days,volume_cal
CYTHW,Cyclo Therapeutics Inc. Warrant,$0.29,0.00,0.00%,6592397.0,United States,,4,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.2579,5.92836699444006,4.270000100135803,2.3282443781386992,38.09523843313292,350.0,600.0
LIDRW,AEye Inc. Warrant,$0.0072,0.00,0.00%,45154.0,United States,2021.0,6144,Consumer Discretionary,Auto Parts:O.E.M.,0.014,46.62946745695184,18.480000160634518,2.0,136.00001415610345,113800.0,5151.0
INO,Inovio Pharmaceuticals Inc. Common Stock,$11.25,-0.26,-2.259%,262916606.0,United States,,934693,Health Care,Medical/Dental Instruments,10.72,10.474129688383682,21784.379896640778,1.699788568590303,130.76924330932744,734680.0,131331.0
MIMO,Airspan Networks Holdings Inc. Common Stock,$0.115,-0.017,-12.879%,8583473.0,United States,2020.0,821188,Consumer Discretionary,Telecommunications Equipment,0.1146,10.199320789499811,224784.4141741097,1.687999963760376,37.34940288980205,417470.0,107406.0
XBIOW,Xenetic Biosciences Inc. Warrants,$14.70,0.00,0.00%,22648055.0,United States,,435,Health Care,Biotechnology: Pharmaceutical Preparations,14.07,5.094824963706879,34.80000114440918,1.6571429116385323,267.4999952316284,540.0,3.0
COOLW,Corner Growth Acquisition Corp. Warrant,$0.111,-0.0001,-0.09%,0.0,United States,2021.0,4362,Finance,Blank Checks,0.12,24.93664364829291,13.53400033712387,1.6144579329880393,100.0,32620.0,14798.0
SAVAW,Cassava Sciences Inc. Warrant,$4.8701,-0.4299,-8.111%,210511100.0,United States,,47014,,,4.68,14.276122366597566,41061.32966423035,1.6086206236010379,43.283591862111784,104010.0,81204.0
SLDB,Solid Biosciences Inc. Common Stock,$12.23,0.83,7.281%,246770091.0,United States,2018.0,537547,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),13.36,11.353821065627434,19666.800926208496,1.500000044151588,170.52238132115028,394950.0,183797.0
NEXI,NexImmune Inc. Common Stock,$6.09,0.21,3.571%,6443981.0,United States,2021.0,44027,Health Care,Biotechnology: Pharmaceutical Preparations,5.6,11.290982743549716,16233.0,1.4462809461394712,124.73462635680809,148850.0,73631.0
MPU,Mega Matrix Corp. Common Stock,$2.40,-0.08,-3.226%,76139114.0,United States,1998.0,424239,Consumer Discretionary,Diversified Commercial Services,2.9,9.495487586385476,34559.259898900986,1.4424778779733618,110.96551135604098,294550.0,916978.0
BTCY,Biotricity Inc. Common Stock,$1.22,-0.11,-8.271%,11295928.0,United States,,40803,Health Care,Medical/Dental Instruments,1.54,16.377281376177997,41.19999885559082,1.4206895689901955,54.28572174643207,113250.0,134324.0
EDUC,Educational Development Corporation Common Stock,$2.07,0.31,17.614%,17742152.0,United States,,259896,Consumer Discretionary,Consumer Specialties,1.87,10.04295717672241,1264.419977903366,1.4044117253905353,105.0434728412413,55910.0,11842.0
GXAI,Gaxos.ai Inc. Common Stock,$8.04,2.72,51.128%,7946479.0,United States,2023.0,43476950,Technology,Computer Software: Prepackaged Software,6.71,34.048939721230866,19158.238534312248,1.3701658216637753,63.970592703923856,4642593.0,73133.0
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,$1.47,-0.03,-2.00%,74868232.0,United States,,5302,Consumer Discretionary,Durable Goods,1.54,16.37595477657463,508.0800132751465,1.3644859500718096,80.72289520016712,29270.0,1773.0
BFRG,Bullfrog AI Holdings Inc. Common Stock,$3.58,-0.32,-8.205%,21818826.0,United States,2023.0,478191,Technology,Retail: Computer Software & Peripheral Equipment,3.74,11.150316868704024,1870449.3989300728,1.3360655059590638,31.40350915351697,312160.0,31871.0
LBPH,Longboard Pharmaceuticals Inc. Common Stock,$19.96,0.96,5.053%,476190690.0,United States,2021.0,711725,Health Care,Biotechnology: Pharmaceutical Preparations,20.48,8.110009297298637,111938.26139831543,1.323402032328631,269.1489394980714,727070.0,121652.0
LVO,LiveOne Inc. Common Stock,$1.87,0.015,0.809%,171396137.0,United States,,314019,Consumer Discretionary,Restaurants,1.88,8.555928419281011,2781.030089735985,1.3039216350839957,83.79629031743556,354580.0,212881.0
ACMR,ACM Research Inc. Class A Common Stock,$28.75,-0.60,-2.044%,1756481710.0,United States,2017.0,966015,Technology,Industrial Machinery/Components,28.63,8.301652019633154,217755.77025604248,1.303184670893975,44.289546369078,1752730.0,2179964.0
AAME,Atlantic American Corporation Common Stock,$2.79,0.03,1.087%,56922384.0,United States,,11954,Finance,Life Insurance,2.68,5.98315160846703,213.03000926971436,1.301980266967436,37.931034077766974,5670.0,1141.0
LTRY,Lottery.com Inc. Common Stock,$2.58,-0.06,-2.273%,,United States,2023.0,3793,Technology,Computer Software: Prepackaged Software,2.4,8.497562044835005,547.5199756622314,1.2896173987712845,60.98611244945609,19090.0,7491.0
QUIK,QuickLogic Corporation Common Stock,$17.19,-0.47,-2.661%,239115083.0,United States,1999.0,349854,Technology,Semiconductors,19.14,7.671274898775193,23898.599678993225,1.286231871225633,32.29014847914593,390120.0,496528.0
GRTS,Gritstone bio Inc. Common Stock,$2.36,-0.15,-5.976%,231434802.0,United States,2018.0,1273471,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.47,11.472254544983818,46375.64879536629,1.266009837174202,48.900009497006984,1537500.0,948539.0
SGHT,Sight Sciences Inc. Common Stock,$4.37,0.00,0.00%,213036958.0,United States,2021.0,84531,Health Care,Medical Specialities,4.71,6.475658256174954,12416.650229930878,1.256097613453228,47.32142749438882,139020.0,17275.0
COCH,Envoy Medical Inc. Class A Common Stock,$5.86,-1.74,-22.895%,114562895.0,United States,2021.0,248177,Finance,Blank Checks,3.66,44.47937061897138,420.26400089263916,1.247222175311161,56.35317398520253,378520.0,336109.0
NTRP,NextTrip Inc. Common Stock,$4.41,4.41,,4129656.0,United States,,222276,,,4.75,16.45193283369033,1189.2499840259552,1.2456140600376484,48.14189771520901,173390.0,24159.0
ABEO,Abeona Therapeutics Inc. Common Stock,$8.23,0.05,0.611%,203884399.0,United States,,251751,Health Care,Biotechnology: Pharmaceutical Preparations,6.99,9.705722379129567,3955.0,1.2437811004286672,57.62712686303671,478940.0,433659.0
WHLRP,Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock,$1.58,0.16,11.268%,107477474.0,United States,,8474,Real Estate,Real Estate Investment Trusts,1.75,6.071303323084765,8.27999997138977,1.2432432229251273,34.469689820150215,5260.0,1200.0
